Ghazal/Nazm,Poet,Fran,Rekhta,Music,Others,PDFs,Date,Status
likh diyā apne dar pe kisī ne is jagah pyaar karnā manā hai ,Qateel Shifai,,https://www.rekhta.org/ghazals/likh-diyaa-apne-dar-pe-kisii-ne-is-jagah-pyaar-karnaa-manaa-hai-qateel-shifai-ghazals?sort=popularity-desc&lang=ur,,,,"June 23, 2023",Added
yaaro kisī qātil se kabhī pyaar na māñgo ,Qateel Shifai,,https://www.rekhta.org/ghazals/yaaro-kisii-qaatil-se-kabhii-pyaar-na-maango-qateel-shifai-ghazals?sort=popularity-desc&lang=ur,"- Nusrat Fateh Ali Khan: https://www.youtube.com/watch?v=SjGFzYKJmwU

- Mehdi Hassan: https://www.youtube.com/watch?v=lfXqvDos_wc
",,,"June 23, 2023",Added
kartā nahīñ quṣūr hamāre halāk meñ,Mir Taqi Mir,http://www.columbia.edu/itc/mealac/pritchett/00garden/08c/0885/index_0885.html,,,,,"June 30, 2023",Added
ibn-e maryam huʾā kare koʾī,Ghalib,http://www.columbia.edu/itc/mealac/pritchett/00ghalib/215/index_215.html,,"'- Farida Khanum: https://www.youtube.com/watch?v=LdPKpT9PM7U

- Begum Akhtar: https://www.youtube.com/watch?v=hRzd8JxhRTo

- Abida Parveen: https://www.youtube.com/watch?v=8ZV2m5o9xyg

- Suresh Wadkar: https://www.youtube.com/watch?v=r-Aq34Tevmw

- Shumona Roy Biswas (special): https://www.youtube.com/watch?v=TY6eqxc5E_k

- Ustad Nazim Hussain: https://www.youtube.com/watch?v=vI6dUDG798A

- Asrar: https://www.youtube.com/watch?v=oqu7JW_hJOo

- Tina Sani: https://www.youtube.com/watch?v=BZPSyknHK6I

- K.L. Saigal: https://www.youtube.com/watch?v=D5eGnGnNwU4

- Jagjit Singh: https://www.youtube.com/watch?v=inSffcluJBk
",,,"June 30, 2023",Added
ai mujh se tujh ko sau mile tujh sā nah pāyā ek maiñ,Mir Taqi Mir,http://www.columbia.edu/itc/mealac/pritchett/00garden/08c/0897/index_0897.html,,,,,"July 7, 2023",Added
bāġh pā kar ḳhafaqānī yih ḍarātā hai mujhe,Ghalib,http://www.columbia.edu/itc/mealac/pritchett/00ghalib/217/index_217.html,,,,,"July 7, 2023",Added
nah māʾil ārsī kā rah sarāpā dard hogā tū,Mir Taqi Mir,http://www.columbia.edu/itc/mealac/pritchett/00garden/09c/0910/index_0910.html,,,,,"July 14, 2023",Added
hazāroñ ḳhvāhisheñ aisī kih har ḳhvāhish pah dam nikle,Ghalib,http://www.columbia.edu/itc/mealac/pritchett/00ghalib/219/index_219.html,,"- Late Mangeshkar: https://www.youtube.com/watch?v=Rv1dSU6FVJg

- Abida Parveen: https://www.youtube.com/watch?v=Hc_CL_hiles

- Fariha Pervaiz: https://www.youtube.com/watch?v=9RZZ0FDmmDI

- Jagjit Singh: https://www.youtube.com/watch?v=OVh7gOhiJig

- Shubha Mudgal: https://www.youtube.com/watch?v=8Ky2istP1aM

- Zahra Haider Khan: https://www.youtube.com/watch?v=x25oaRFRSFo
",,,"July 14, 2023",Added
kyā chahre ḳhudā ne diye un ḳhvush pisaroñ ko,Mir Taqi Mir,http://www.columbia.edu/itc/mealac/pritchett/00garden/09c/0932/index_0932.html,,,,,"July 21, 2023",Added
dabegī kab talak āvāz-e-ādam ham bhī dekheñge ,Sahir Ludhianvi,,https://www.rekhta.org/nazms/aavaaz-e-aadam-sahir-ludhianvi-nazms?lang=ur,,- Article: https://www.outlookindia.com/website/story/the-evanescent-poet/296751,,"July 21, 2023",Added
āñkhoñ meñ bas ke dil meñ samā kar chale ga.e ,Jigar Moradabadi,,https://www.rekhta.org/ghazals/aankhon-men-bas-ke-dil-men-samaa-kar-chale-gae-jigar-moradabadi-ghazals?&lang=ur,"- Javed Hussain Khan Chisti Ragi Qawwal: https://www.youtube.com/watch?v=yxArJP1Culc

- Mukesh: https://www.youtube.com/watch?v=1tM4oqX_IE4

- Nitin Mukesh: https://www.youtube.com/watch?v=7B6U161OEQM

- Aniket Khandekar: https://www.youtube.com/watch?v=YIWwJPHG3W4
",,,"July 28, 2023",Added
hujūm-e nālah ḥairat ʿājiz-e ʿarẓ-e yak-afġhāñ hai,Ghalib,https://franpritchett.com/00ghalib/226/index_226.html,,,,,"July 28, 2023",Added
paidā nahīñ jahāñ meñ qaid-e jahāñ se rastah,Mir Taqi Mir,https://franpritchett.com/00garden/09c/0938/index_0938.html,,,,,"August 4, 2023",Added
'momin' ḳhudā ke vāste aisā makāñ na chhoḌ ,Momin Khan Momin,,https://www.rekhta.org/ghazals/momin-khudaa-ke-vaaste-aisaa-makaan-na-chhod-momin-khan-momin-ghazals?&lang=ur,,,,"August 4, 2023",Added
mīr daryā hai sune shiʿr zabānī us kī,Mir Taqi Mir,https://franpritchett.com/00garden/09c/0949/index_0949.html,,,,,"August 11, 2023",Added
ḳhamoshiyoñ meñ tamāshā adā nikaltī hai,Ghalib,https://franpritchett.com/00ghalib/227/index_227.html,,,,,"August 11, 2023",Added
Khud Shama Ban Gaye Mujhe Parvaana Kar Diya,Jigar Moradabadi,,,- Ustad Mohammed Warsi Nasiri Qawwal: https://soundcloud.com/irfan-zuberi/ustad-mohammed-ahmed-warsi-nasiri-qawwal,- Text: https://docs.google.com/document/d/1fKE0ILZW3jWxBXWJnDC9wRca52tNgLn2hpkKgeasm2s/edit,,"August 18, 2023",Added
farishtoñ se bhī achchhā maiñ burā hone se pahle thā,Anwar Shuoor,,https://www.rekhta.org/ghazals/farishton-se-bhii-achchhaa-main-buraa-hone-se-pahle-thaa-anwar-shuoor-ghazals?sort=popularity-desc&lang=ur,,,,"August 25, 2023",Added
shabnam bah gul-e lālah nah ḳhālī z adā hai,Ghalib,https://franpritchett.com/00ghalib/230/index_230.html,,,,,"August 25, 2023",Added
qudrat ka ajeeb yeh sitam hai ,Iqbal,https://franpritchett.com/00urdu/iqbal/insan.html,,,,,"September 1, 2023",Added
kartaa hai kab suluuk vuh ahl-e niyaaz se,Mir Taqi Mir,https://franpritchett.com/00garden/09c/0977/index_0977.html,,,,,"September 8, 2023",Added
ik lafz-e-mohabbat kā adnā ye fasānā hai,Jigar Moradabadi,,https://www.rekhta.org/ghazals/ik-lafz-e-mohabbat-kaa-adnaa-ye-fasaanaa-hai-jigar-moradabadi-ghazals?lang=ur,"- Pratibha Singh Baghel: https://www.youtube.com/watch?v=B-NyalFhjo8&ab_channel=Pasbaan-e-Adab

- Abida Parveen: https://www.youtube.com/watch?v=2JwxVLyagjY&ab_channel=AbidaParveen-Topic

- Asha Bhosle: https://www.youtube.com/watch?v=Pwb2hhHZ9o8&ab_channel=ArbabGopang

- Sudhir Narain: https://www.youtube.com/watch?v=691KIR8Xn_8&ab_channel=SudhirNarain-Topic",,,"September 8, 2023",Added
rishtah kyā ṭhahregā yih jaise kih mū nāzuk hai,Mir Taqi Mir,https://franpritchett.com/00garden/10c/1037/index_1037.html,,,,,"September 15, 2023",Added
manz̤ūr thī yih shakl tajallī ko nūr kī,Ghalib,https://franpritchett.com/00ghalib/231/index_231.html,,,,,"September 15, 2023",Added
dīn-o-dil ke ġham ko āsāñ nā-tavāñ maiñ le gayā,Mir Taqi Mir,https://franpritchett.com/00garden/10c/1056/index_1056.html,,,,,"September 21, 2023",Added
ġham khāne meñ bodā dil-e nā-kām bahut hai,Ghalib,https://franpritchett.com/00ghalib/232/index_232.html,,,,,"September 21, 2023",Added
muddat huʾī hai yār ko mihmāñ kiye huʾe,Ghalib,https://franpritchett.com/00ghalib/233/index_233.html,,"- Iqbal Bano: https://www.youtube.com/watch?v=t2AYXuc7_fE

- Farida Khanum: https://www.youtube.com/watch?v=X-4cx677UgQ

- Mehdi Hassan + Tarannum Naaz: https://www.youtube.com/watch?v=LZ_u2ddAECU

- Mohd. Rafi: https://www.youtube.com/watch?v=gojFP-zhmO4

- Noor Jahan: https://www.youtube.com/watch?v=hfeQWMDXYNs

- Richa Sharma + Pratibha Singh Baghel: https://www.youtube.com/watch?v=ZX_C3rj6JvY

- Zia Mohiuddin: https://www.youtube.com/watch?v=P_Z3zowMNXY

- Ali Sethi: https://www.youtube.com/watch?v=DVhiQlR1keQ

- Shaila Hattangadi: https://www.youtube.com/watch?v=Yx3wp-RXi8s

- Kalpana Gandharv: https://www.youtube.com/watch?v=VinskXO4MG4

- Ameen Badal: https://www.youtube.com/watch?v=Job5PZ5N-HM
",,,"September 29, 2023",Added
aḥvāl nah pūchho kuchh ham z̤ulm-rasīdoñ kā,Mir Taqi Mir,https://franpritchett.com/00garden/10c/1098/index_1098.html,,,,,"October 13, 2023",Added
naved-e amn hai bedād-e dost jāñ ke liye,Ghalib,https://franpritchett.com/00ghalib/234/index_234.html,,,,,"October 13, 2023",Added
naqsh faryādī hai kis kī shoḳhī-e taḥrīr kā,Ghalib,https://franpritchett.com/00ghalib/001/index_001.html,,"- Mahendra Kapoor: https://www.youtube.com/watch?v=NbUa7bIBmJ0

- Talat Mahmood: https://www.youtube.com/watch?v=sNqiSkcbCAQ

- Arifa Siddiqui: https://www.youtube.com/watch?v=khzVinKsnqc

- Mehran Shah: https://www.youtube.com/watch?v=R9qZZ7-U7LQ
",,,"October 26, 2023",Added
kiyā hai ʿishq jab se maiñ ne us turk-e sipāhī kā,Mir Taqi Mir,https://franpritchett.com/00garden/11c/1102/index_1102.html,,,,,"November 3, 2023",Added
umroñ kī masāfat se ,Ahmad Faraz,,https://www.rekhta.org/nazms/ai-ishq-e-junuun-pesha-umron-kii-masaafat-se-ahmad-faraz-nazms?lang=ur,,,,"November 3, 2023",Added
āḳhirī baar milo,Mustafa Zaidi,,https://www.rekhta.org/nazms/aakhirii-baar-milo-mustafa-zaidi-nazms?lang=ur,- Salman Alvi: https://www.youtube.com/watch?v=zUiJJqYY-JA,"- Mustafa Zaidi Ki Yaad Mayn: https://www.youtube.com/watch?v=1og5ydd2scM

- Notes On A Scandal Podcast: https://notesonascandal.buzzsprout.com/1901474/11847122-s02e08-finale

- A Poet's Death Remembered: https://www.dawn.com/news/1148084

- Murder or Suicide: https://www.dawn.com/news/971951/mustafa-zaidi-murder-or-suicide

- Lutfullah Khan's Archive Playlist: https://www.youtube.com/watch?v=8ldXGztpckk&list=PLByUJ_VbMxwHwdm7ykNlKW9z-Dx2Q-2u4",,"November 10, 2023",Added
juz qais aur koʾī nah āyā bah rū-e kār,Ghalib,https://franpritchett.com/00ghalib/003/index_003.html,,,,,"November 10, 2023",Added
ajab nahīñ hai nah jāne jo mīr chāh kī rīt,Mir Taqi Mir,https://franpritchett.com/00garden/11c/1112/index_1112.html,,,,,"November 17, 2023",Added
bol re jee ab saajan jee kaa mukhḍaa hai kis darpaṇ kaa,Jaun Elia,,,,"- Urdu Text: https://files.constantcontact.com/1c63f117701/ff78ab1b-8ed2-44bc-8d6c-0a8f5d478ab3.pdf?rdr=true
- Roman Text: https://files.constantcontact.com/1c63f117701/d1eb5baf-4a95-4ef7-ab49-eda6eedf0636.pdf?rdr=true
- Devanagari Text: https://files.constantcontact.com/1c63f117701/53430f51-7748-4195-a86f-836e879668ce.pdf?rdr=true",,"November 17, 2023",Added
kahte ho nah deñge ham dil agar paṛā pāyā,Ghalib,https://franpritchett.com/00ghalib/004/index_004.html,,"- Nirmala Devi: https://www.youtube.com/watch?v=6hH_Ys5QfEU
",,,"November 24, 2023",Added
kal le gaʾe the yār hameñ bhī chaman ke bīch,Mir Taqi Mir,https://franpritchett.com/00garden/11c/1123/index_1123.html,,,,,"December 8, 2023",Added
dil mirā soz-e nihāñ se be-muḥābā jal gayā,Ghalib,https://franpritchett.com/00ghalib/005/index_005.html,,,e,,"December 8, 2023",Added
har chand ṣarf-e ġham haiñ le dil jigar se jāñ tak,Mir Taqi Mir,https://franpritchett.com/00garden/11c/1160/index_1160.html,,,,,"December 15, 2023",Added
shauq har rang raqīb-e sar-o-sāmāñ niklā,Ghalib,https://franpritchett.com/00ghalib/006/index_006.html,,"- Ghulam Ali: https://www.youtube.com/watch?v=nXlMve--0cs

- Ijaz Hussain Hazarvi: https://www.youtube.com/watch?v=jaTg2W1w400

- Asha Bhosle: https://www.youtube.com/watch?v=aJVwach9snU

- Mohd. Rafi: https://www.youtube.com/watch?v=-XIoIJWnY3I",,,"December 15, 2023",Added
qatl-gah meñ dast-bos us kā kareñ fī al-faur log,Mir Taqi Mir,https://franpritchett.com/00garden/11c/1161/index_1161.html,,,,,"January 5, 2024",Added
dhamkī meñ mar gayā jo nah bāb-e nabard thā,Ghalib,https://franpritchett.com/00ghalib/007/index_007.html,,,,,"January 5, 2024",Added
ṭhanḍī sāñseñ bhareñ haiñ jalte haiñ kyā tāb meñ haiñ,Mir Taqi Mir,https://franpritchett.com/00garden/11c/1174/index_1174.html,,,,,"January 12, 2024",Added
dahr meñ naqsh-e vafā vaj'h-e tasallī nah huʾā,Ghalib,https://franpritchett.com/00ghalib/009/index_009.html,,"- Munshi Raziuddin: https://www.youtube.com/watch?v=FGQ-nH9KY48

- Lata Mangeshkar: https://www.youtube.com/watch?v=5DhbLJAZ7xo

- Nihaarika Sinha: https://www.youtube.com/watch?v=lXtJ7Q-YorE
",,,"January 12, 2024",Added
mohabbat karne vaale kam na hoñge,Hafeez Hoshiarpuri,,https://www.rekhta.org/ghazals/mohabbat-karne-vaale-kam-na-honge-hafeez-hoshiarpuri-ghazals?sort=popularity-desc&lang=ur,"- Mehdi Hassan: https://www.youtube.com/watch?v=iaQvfxnJwsw

- Prithvi Gandharv & Pratibha Baghel https://www.youtube.com/watch?v=enpS7hw_ZYM

- Farida Khanum: https://www.youtube.com/watch?v=BCJwxuXWvh0

- Arooj Aftab: https://www.youtube.com/watch?v=Wu-ljkAVMhE

- Ali Sethi: https://www.youtube.com/watch?v=dnAECsoC0RI

- Manjari: https://www.youtube.com/watch?v=W3Fx7Vpo2PI

- Papon: https://www.youtube.com/watch?v=ULK7Vn3xcgU",,,"January 19, 2024",Added
satāyish-gar hai zāhid is qadar jis bāġh-e riẓvāñ kā,Ghalib,https://franpritchett.com/00ghalib/010/index_010.html,,,,,"January 19, 2024",Added
raat bhar dīda-e-namnāk meñ lahrāte rahe,Makhdoom Mohiuddin,,https://www.rekhta.org/nazms/intizaar-makhdoom-mohiuddin-nazms?lang=ur,,,,"January 26, 2024",Added
marīẓ-e-muhabbat unhīñ kā fasāna sunātā rahā dam nikalte nikalte,Qamar Jalalvi,,https://www.rekhta.org/ghazals/mariiz-e-mohabbat-unhiin-kaa-fasaana-sunaataa-rahaa-dam-nikalte-nikalte-qamar-jalalvi-ghazals?lang=ur,"- Munshi Raziuddin: https://www.youtube.com/watch?v=1Cjau9K4DPw

- Fareed Ayaz & Abu Muhammad: https://www.facebook.com/dreamjourneyfilm/videos/mareez-e-muhabbat-unhi-ka-fasana/1398651790221350/

- Sher Ali Mehr Ali https://www.youtube.com/watch?v=VPU5ebD24Ug

- Agha Bashir: https://www.youtube.com/watch?v=IHT2SURN0VE

- Sabri Brothers: https://www.youtube.com/watch?v=FoWBSemezvk

- Aziz Mian: https://www.youtube.com/watch?v=cVGPnYhsKcY

- Ayaz Ali: https://www.youtube.com/watch?v=Rdu1KQldP60

- Niaz Ali Balti: https://www.youtube.com/watch?v=GQvL8GoiibQ

- Munni Begum: https://www.youtube.com/watch?v=hv8yothItJc

- Ghulam Ali: https://www.youtube.com/watch?v=MO133Pz6miQ

- Mansoor Ali Malangi: https://www.youtube.com/watch?v=_vqKceaXOJE

- Attaullah Khan Esakhelvi: https://www.youtube.com/watch?v=XTyH3Zd3I08
",,,"February 2, 2024",Added
nah hogā yak-bayābāñ māñdagī se żauq kam merā,Ghalib,https://franpritchett.com/00ghalib/011/index_011.html,,,,,"February 2, 2024",Added
sarāpā rahn-e ʿishq-o-nā-guzīr-e ulfat-e hastī,Ghalib,https://franpritchett.com/00ghalib/012/index_012.html,,,,,"February 2, 2024",Added
ra.ad huuñ barq huuñ bechain huuñ paarā huuñ maiñ,Makhdoom Mohiuddin,,https://www.rekhta.org/nazms/baagii-makhdoom-mohiuddin-nazms?lang=ur,,,,"February 9, 2024",Added
ro chukā ḳhūn-e jigar sab ab jigar meñ ḳhūñ kahāñ,Mir Taqi Mir,https://franpritchett.com/00garden/11c/1176/index_1176.html,,,,,"February 9, 2024",Added
kabhī apne ishq pe tabsire kabhī tazkire ruḳh-e-yār ke,Suroor Barabankvi,,https://www.rekhta.org/ghazals/kabhii-apne-ishq-pe-tabsire-kabhii-tazkire-rukh-e-yaar-ke-suroor-barabankvi-ghazals?lang=ur,,,,"February 16, 2024",Added
maḥram nahīñ hai tū hī navāhā-e rāz kā,Ghalib,https://franpritchett.com/00ghalib/013/index_013.html,,,,,"February 16, 2024",Added
ʿishq ne ḳhvār-o-zalīl kiyā ham sar ko bikhere phirte haiñ,Mir Taqi Mir,https://franpritchett.com/00garden/11c/1177/index_1177.html,,,,,"February 23, 2024",Added
bazm-e shāhinshāh meñ ashʿār kā daftar khulā,Ghalib,https://franpritchett.com/00ghalib/014/index_014.html,,,,,"February 23, 2024",Added
shab kih barq-e soz-e dil se zahrah-e abr āb thā,Ghalib,https://franpritchett.com/00ghalib/015/index_015.html,,,,,"March 1, 2024",Added
raftagāñ meñ jahāñ ke ham bhī haiñ,Mir Taqi Mir,https://franpritchett.com/00garden/11c/1185/index_1185.html,,,,,"March 8, 2024",Added
ek ek qat̤re kā mujhe denā paṛā ḥisāb,Ghalib,https://franpritchett.com/00ghalib/016/index_016.html,,,,,"March 15, 2024",Added
shahroñ mulkoñ meñ jo yih mīr kahātā hai miyāñ,Mir Taqi Mir,https://franpritchett.com/00garden/12c/1201/index_1201.html,,,,,"March 22, 2024",Added
baskih dushvār hai har kām kā āsāñ honā,Ghalib,https://franpritchett.com/00ghalib/017/index_017.html,,"- Shumona Roy Biswas: https://www.youtube.com/watch?v=y0lP6Xj_HQE

- Mohd. Rafi: https://www.youtube.com/watch?v=eP9eHLeyLJM

- Jagjit Singh: https://www.youtube.com/watch?v=_siie8s5OEk

- Sithara Krishnakumari: https://www.youtube.com/watch?v=NFGqqxQPZ1w
",,,"March 29, 2024",Added
qatl kiye par ġhuṣṣah kyā hai lāsh mirī uṭhvāne do,Mir Taqi Mir,https://franpritchett.com/00garden/12c/1219/index_1219.html,,,,,"April 5, 2024",Added
tūfāñ ba-dil hai har koī dildār dekhnā,Faiz Ahmed Faiz,,https://www.rekhta.org/nazms/dildaar-dekhnaa-faiz-ahmad-faiz-nazms?lang=ur,"- Faiz Sahab Reading: https://www.youtube.com/watch?v=H_iWTwnnwtA

- Farida Khanum: https://www.youtube.com/watch?v=tJ7AdfdvXQ8
",,,"April 5, 2024",Added
yūñhī be-sabab na phirā karo koī shaam ghar meñ rahā karo ,Bashir Badr,,https://www.rekhta.org/ghazals/yuunhii-be-sabab-na-phiraa-karo-koii-shaam-ghar-men-rahaa-karo-bashir-badr-ghazals?lang=ur,"- Reading by the poet: https://www.youtube.com/watch?v=BY54cTl3nGs

- Sayema Rahman: https://www.youtube.com/watch?v=3Hv9gsnD2g4

- Shilpa Rao:https://www.youtube.com/watch?v=-CRpKQIvXsE

- Osman Mir: https://www.youtube.com/watch?v=DPoW67ZGUjs

- Hariharan: https://www.youtube.com/watch?v=Yr-OBnNhRMI",,,"April 12, 2024",Added
yih sarā sone kī jāgah nahīñ bedār raho,Mir Taqi Mir,https://franpritchett.com/00garden/12c/1223/index_1223.html,,,,,"April 19, 2024",Added
shab ḳhumār-e shauq-e sāqī rastḳhez-andāzah thā,Ghalib,https://franpritchett.com/00ghalib/018/index_018.html,,,,,"April 19, 2024",Added
fikr-e-insāñ par tirī hastī se ye raushan huā,Iqbal,,https://rekhta.org/nazms/mirzaa-gaalib-fikr-e-insaan-par-tirii-hastii-se-ye-raushan-huaa-allama-iqbal-nazms?lang=ur,,,,"April 26, 2024",Added
dost ġham-ḳhvārī meñ merī saʿī farmāveñge kyā,Ghalib,https://franpritchett.com/00ghalib/019/index_019.html,,,,,"April 26, 2024",Added
bāre dunyā meñ raho ġham-zadah yā shād raho,Mir Taqi Mir,https://franpritchett.com/00garden/12c/1230/index_1230.html,,,,,"May 3, 2024",Added
